CMDLINE /Library/Frameworks/Python.framework/Versions/3.12/bin/python3.12 chapter2.py
MEM 93.515625 1729507176.8248
MEM 93.671875 1729507176.9298
MEM 93.828125 1729507177.0349
MEM 94.000000 1729507177.1396
MEM 94.156250 1729507177.2446
MEM 94.312500 1729507177.3496
MEM 94.484375 1729507177.4547
MEM 94.671875 1729507177.5597
MEM 94.843750 1729507177.6648
MEM 95.000000 1729507177.7698
MEM 95.156250 1729507177.8748
MEM 95.328125 1729507177.9798
MEM 95.531250 1729507178.0849
MEM 95.687500 1729507178.1899
MEM 95.859375 1729507178.2949
MEM 96.015625 1729507178.3999
MEM 96.187500 1729507178.5049
MEM 96.343750 1729507178.6062
MEM 96.500000 1729507178.7113
MEM 96.671875 1729507178.8163
MEM 96.828125 1729507178.9213
MEM 96.984375 1729507179.0229
MEM 97.156250 1729507179.1279
MEM 97.312500 1729507179.2329
MEM 97.468750 1729507179.3380
MEM 97.640625 1729507179.4383
MEM 97.796875 1729507179.5433
MEM 97.953125 1729507179.6484
MEM 98.125000 1729507179.7534
MEM 98.281250 1729507179.8584
MEM 98.437500 1729507179.9635
MEM 98.609375 1729507180.0685
MEM 98.765625 1729507180.1729
MEM 98.953125 1729507180.2779
MEM 99.125000 1729507180.3829
MEM 99.281250 1729507180.4880
MEM 99.437500 1729507180.5930
MEM 99.609375 1729507180.6980
MEM 99.765625 1729507180.8030
MEM 99.937500 1729507180.9080
MEM 107.765625 1729507181.0108
MEM 108.109375 1729507181.1159
MEM 108.421875 1729507181.2209
MEM 108.734375 1729507181.3259
MEM 109.046875 1729507181.4310
MEM 109.328125 1729507181.5360
MEM 109.640625 1729507181.6410
MEM 109.921875 1729507181.7460
MEM 110.203125 1729507181.8511
MEM 110.484375 1729507181.9561
MEM 110.734375 1729507182.0612
MEM 110.984375 1729507182.1662
MEM 111.234375 1729507182.2712
MEM 111.453125 1729507182.3762
MEM 111.625000 1729507182.4813
MEM 111.750000 1729507182.5863
MEM 111.843750 1729507182.6913
MEM 111.906250 1729507182.7964
MEM 112.000000 1729507182.9014
MEM 112.062500 1729507183.0062
MEM 112.140625 1729507183.1112
MEM 112.203125 1729507183.2163
MEM 112.234375 1729507183.3213
MEM 112.296875 1729507183.4263
MEM 112.343750 1729507183.5313
